,Made Donation in March 2007
659,0.5
276,0.0
263,0.0
303,0.5
83,0.5
500,1.0
530,0.0
244,0.0
249,0.0
728,0.0
129,1.0
534,0.0
317,0.5
401,0.0
696,0.5
192,0.5
176,0.0
571,0.5
139,0.0
423,0.5
563,1.0
56,0.5
528,0.5
101,0.0
467,0.0
382,0.0
466,0.5
294,0.0
512,0.0
659,0.5
389,0.0
487,0.5
701,0.5
419,0.5
536,0.0
240,0.0
508,0.0
515,0.0
283,0.5
650,0.0
65,0.5
228,0.5
741,0.0
297,0.5
464,0.0
63,0.5
231,0.5
28,0.0
248,0.0
357,0.0
300,0.5
726,0.0
680,0.5
520,1.0
254,0.0
582,1.0
143,0.0
98,1.0
1,0.5
221,0.5
352,0.0
64,0.5
138,0.0
745,0.0
64,0.5
688,0.0
623,0.0
289,0.0
174,0.5
690,0.0
105,0.5
427,0.5
48,0.0
14,0.0
657,0.0
301,0.0
455,0.0
579,0.5
722,0.0
98,1.0
491,0.0
303,0.5
466,0.5
65,0.5
300,0.5
9,0.0
622,0.5
323,0.0
289,0.0
568,0.5
290,0.0
156,0.5
464,0.0
426,0.0
306,0.5
4,0.5
12,0.5
187,0.0
406,0.0
96,0.0
509,0.5
733,0.0
548,0.0
478,0.5
501,0.0
127,0.5
199,0.0
299,0.5
162,0.0
235,0.0
23,0.0
473,0.0
487,0.5
683,1.0
303,0.5
309,0.0
569,0.0
34,0.5
686,0.5
84,0.0
733,0.0
537,0.5
181,0.0
453,0.0
67,0.5
161,0.0
307,0.0
703,0.0
181,0.0
246,0.0
316,0.5
278,0.5
346,0.5
545,0.0
419,0.5
694,0.0
622,0.5
663,0.0
262,1.0
461,0.0
373,0.5
233,0.0
466,0.5
207,0.0
263,0.0
16,0.0
513,0.0
449,0.5
429,0.0
701,0.5
632,0.0
529,0.5
245,0.0
344,0.5
353,0.5
241,0.0
633,0.0
624,0.5
726,0.0
189,0.5
138,0.0
402,0.0
511,0.5
590,0.5
334,0.0
447,0.0
119,0.5
389,0.0
644,0.0
423,0.5
131,0.0
405,0.0
82,0.0
643,0.5
156,0.5
617,0.0
574,0.5
272,0.0
613,0.0
545,0.0
685,0.0
570,0.5
537,0.5
691,0.0
85,0.0
483,0.0
455,0.0
93,0.5
744,0.5
33,0.0
321,0.0
523,0.5
426,0.0
196,0.0
301,0.0
103,0.0
224,0.0
454,0.5
585,0.0
154,0.5
