,Made Donation in March 2007
659,0.4309159909667869
276,0.11098413264470068
263,0.4136759285530693
303,0.30730044319354816
83,0.49894577651680744
500,0.6849718186185041
530,0.43792956873147604
244,0.18712264754867516
249,0.018507301526783045
728,0.08196734823421198
129,0.22564675233878437
534,0.1409844803556593
317,0.22948053149636177
401,0.4136759285530693
696,0.3546134226742629
192,0.2436432464503808
176,0.2669540138614388
571,0.39756289120249527
139,0.05070804767204468
423,0.3574614555489913
563,0.4497626587439279
56,0.34877316014839277
528,0.4041346559620178
101,0.4136759285530693
467,0.3052186096368691
382,0.23371864248476726
466,0.43791696017183884
294,0.18712264754867516
512,0.3895770735382535
659,0.4309159909667869
389,0.24967920209174976
487,0.029320742729488133
701,0.4688442834781508
419,0.25015152400294893
536,0.23673027113811312
240,0.27178266707557147
508,0.26963500933167195
515,0.18712264754867516
283,0.38932031163437797
650,0.4136759285530693
65,0.4811703703195697
228,0.1584607437337332
741,0.056524125308143
297,0.4193637952455529
464,0.15530399864051891
63,0.4688442834781508
231,0.4255381013018628
28,0.1426841480708912
248,0.18712264754867516
357,0.19458862975711597
300,0.4491391920965615
726,0.4947606374435265
680,0.19857726178493945
520,0.3265090394213492
254,0.06002758747991076
582,0.1886257008300301
143,0.1983565922862843
98,0.46849850663903897
1,0.3432909389251226
221,0.4306512051383694
352,0.4136759285530693
64,0.15371488932573205
138,0.21006470135492086
745,0.3151010110708892
64,0.15371488932573205
688,0.13383736856612038
623,0.11865072989193477
289,0.1376418408068838
174,0.31268040412713227
690,0.4136759285530693
105,0.20859600379067633
427,0.1722983448400815
48,0.01541500505689225
14,0.4136759285530693
657,0.05209737855529992
301,0.13506157917876271
455,0.16535568609932588
579,0.23168435174081442
722,0.13962875115905565
98,0.46849850663903897
491,0.01541500505689225
303,0.30730044319354816
466,0.43791696017183884
65,0.4811703703195697
300,0.4491391920965615
9,0.09510526374054794
622,0.2436432464503808
323,0.13674973626721476
289,0.1376418408068838
568,0.3954150248463275
290,0.4136759285530693
156,0.19084377107275607
464,0.15530399864051891
426,0.1688779341419558
306,0.21448528369359104
4,0.28651896967238566
12,0.3953412235738242
187,0.22944406028381545
406,0.057162477303346976
96,0.43792956873147604
509,0.4688442834781508
733,0.14102807823530306
548,0.08294990927552161
478,0.27190488680255115
501,0.23901938653075935
127,0.48720807104351294
199,0.14672974370625844
299,0.40086293516753757
162,0.4136759285530693
235,0.16536275578111834
23,0.27212886362268823
473,0.4136759285530693
487,0.029320742729488133
683,0.4373980423744658
303,0.30730044319354816
309,0.052115156704324504
569,0.07749784768044485
34,0.41315220147748744
686,0.5727512892168986
84,0.3662444644333607
733,0.14102807823530306
537,0.4743431263360804
181,0.19659159393786776
453,0.665456412947575
67,0.3830656289368188
161,0.35361379844338736
307,0.28940345315342425
703,0.26238920205495786
181,0.19659159393786776
246,0.20268524540426297
316,0.39831447958073873
278,0.2436432464503808
346,0.2623195437332857
545,0.4136759285530693
419,0.25015152400294893
694,0.43792956873147604
622,0.2436432464503808
663,0.0722552088173953
262,0.5790827294724512
461,0.19414595969119805
373,0.7828514919143092
233,0.4136759285530693
466,0.43791696017183884
207,0.1983565922862843
263,0.4136759285530693
16,0.07749784768044485
513,0.07062421507175082
449,0.33763157027326596
429,0.03735170831285335
701,0.4688442834781508
632,0.06589558064968959
529,0.5426654536857616
245,0.29178385104988025
344,0.1425583688153668
353,0.17234968332921857
241,0.24499684336623656
633,0.15540518400870248
624,0.4688442834781508
726,0.4947606374435265
189,0.2436432464503808
138,0.21006470135492086
402,0.18712264754867516
511,0.41928862402713946
590,0.4281744214476696
334,0.23665598536210714
447,0.08779859345416398
119,0.43791696017183884
389,0.24967920209174976
644,0.4136759285530693
423,0.3574614555489913
131,0.07749784768044485
405,0.012359618281992918
82,0.4136759285530693
643,0.810629860671744
156,0.19084377107275607
617,0.07744273712991646
574,0.47486887916492276
272,0.20609821970842332
613,0.11361971148889163
545,0.4136759285530693
685,0.18712264754867516
570,0.21693484181291364
537,0.4743431263360804
691,0.15540518400870248
85,0.3767044366118525
483,0.20268524540426297
455,0.16535568609932588
93,0.2436432464503808
744,0.4688442834781508
33,0.20268524540426297
321,0.6200421062880297
523,0.2947849146093728
426,0.1688779341419558
196,0.14892940196620968
301,0.13506157917876271
103,0.15540518400870248
224,0.09944523159080329
454,0.08667839955237987
585,0.07571146744915327
154,0.299371506559304
