,Made Donation in March 2007
659,0.47695553
276,0.23083809
263,0.1658489
303,0.1595549
83,0.4481444
500,0.8019312
530,0.3191476
244,0.060875636
249,0.036601517
728,0.020963507
129,0.28228527
534,0.061858147
317,0.2159978
401,0.1658489
696,0.2640948
192,0.11650201
176,0.12364121
571,0.5387529
139,0.07059314
423,0.26011693
563,0.7631585
56,0.48896727
528,0.5908969
101,0.1658489
467,0.19615723
382,0.24585463
466,0.39104053
294,0.060875636
512,0.24903724
659,0.47695553
389,0.24585463
487,0.08762455
701,0.17040367
419,0.21773452
536,0.21839194
240,0.23192935
508,0.19918266
515,0.060875636
283,0.45495906
650,0.1658489
65,0.36624312
228,0.122010395
741,0.06082171
297,0.40624464
464,0.10159795
63,0.17040367
231,0.34640226
28,0.11475358
248,0.060875636
357,0.12183994
300,0.28098786
726,0.73080075
680,0.07169189
520,0.48896727
254,0.05478406
582,0.27408668
143,0.28607082
98,0.6644868
1,0.2784439
221,0.2514276
352,0.1658489
64,0.10294058
138,0.23771913
745,0.32364166
64,0.10294058
688,0.071227945
623,0.025508596
289,0.06779971
174,0.2789652
690,0.1658489
105,0.14561158
427,0.058321208
48,0.06474142
14,0.1658489
657,0.022822758
301,0.061858147
455,0.10159795
579,0.2159978
722,0.10112169
98,0.6644868
491,0.06474142
303,0.1595549
466,0.39104053
65,0.36624312
300,0.28098786
9,0.10308175
622,0.11650201
323,0.0742093
289,0.06779971
568,0.24211079
290,0.1658489
156,0.067528024
464,0.10159795
426,0.087120526
306,0.111673646
4,0.26834366
12,0.2710656
187,0.14418401
406,0.03043473
96,0.3191476
509,0.17040367
733,0.03227546
548,0.11296221
478,0.20007919
501,0.10062833
127,0.51437056
199,0.07917686
299,0.8345541
162,0.1658489
235,0.17087021
23,0.087068945
473,0.1658489
487,0.08762455
683,0.67340267
303,0.1595549
309,0.08649238
569,0.065637
34,0.67340267
686,0.7374811
84,0.098864906
733,0.03227546
537,0.4341667
181,0.13578732
453,0.26292104
67,0.4986793
161,0.37257236
307,0.3119432
703,0.21305595
181,0.13578732
246,0.10112164
316,0.39233768
278,0.11650201
346,0.28348976
545,0.1658489
419,0.21773452
694,0.3191476
622,0.11650201
663,0.06341511
262,0.7027955
461,0.29376337
373,0.63985646
233,0.1658489
466,0.39104053
207,0.28607082
263,0.1658489
16,0.065637
513,0.06153947
449,0.4461088
429,0.012483696
701,0.17040367
632,0.110024855
529,0.5263514
245,0.2300582
344,0.14097254
353,0.17087021
241,0.3128519
633,0.055416185
624,0.17040367
726,0.73080075
189,0.11650201
138,0.23771913
402,0.060875636
511,0.29779634
590,0.4216125
334,0.08958047
447,0.17414291
119,0.39104053
389,0.24585463
644,0.1658489
423,0.26011693
131,0.065637
405,0.075569235
82,0.1658489
643,0.665848
156,0.067528024
617,0.11296221
574,0.47071022
272,0.29376337
613,0.04752538
545,0.1658489
685,0.060875636
570,0.14060172
537,0.4341667
691,0.055416185
85,0.68784904
483,0.10112164
455,0.10159795
93,0.11650201
744,0.17040367
33,0.10112164
321,0.5852921
523,0.19299681
426,0.087120526
196,0.090870954
301,0.061858147
103,0.055416185
224,0.097946614
454,0.093147956
585,0.048129693
154,0.100515366
